Unnamed: 0,date,rating
0,20230103,-0.0001401647341635
1,20230104,0.000507684335683
2,20230105,1.5841361705086438e-05
3,20230106,-0.0001234924665319
4,20230109,-5.5249455052316926e-05
5,20230110,1.5839637505237302e-05
6,20230111,-0.0001537275554074
7,20230112,-0.0001072667023802
8,20230113,0.0011741158863066
9,20230116,-0.0003335202199532
10,20230117,-0.0001821982242776
11,20230118,-0.0001320281310853
12,20230119,-1.2888599083362709e-05
13,20230120,-7.47346559961624e-05
14,20230130,9.902924938542334e-05
15,20230131,1.447931687254705e-06
16,20230201,-1.479081156008132e-05
17,20230202,-0.000133663511646
18,20230203,-0.0002161464280013
19,20230206,-5.67902601170051e-05
20,20230207,3.104048055017319e-05
21,20230208,1.1296865731645025e-05
22,20230209,-9.095347660071713e-05
23,20230210,-8.801879698843502e-05
24,20230213,7.489222097133024e-05
25,20230214,1.89638903253208e-05
26,20230215,-2.7774379232089832e-05
27,20230216,-0.000335528341104
28,20230217,1.6086681386243552e-05
29,20230220,0.0001276925073694
30,20230221,-8.222667783246188e-05
31,20230222,4.881587898435823e-05
32,20230223,-0.0001223860815611
33,20230224,0.0001792679084011
34,20230227,-8.173802602816744e-05
35,20230228,-0.0001118565608733
36,20230301,-0.000254642257644
37,20230302,-0.0002344590960071
38,20230303,-0.0001373099341763
39,20230306,-2.0106320921056504e-05
40,20230307,-9.218377043831867e-05
41,20230308,-5.6428094502233454e-05
42,20230309,-0.0001838805473642
43,20230310,-4.1135611644962805e-05
44,20230313,-0.000363575960911
45,20230314,-0.0002886009097493
46,20230315,-6.550593495189653e-05
47,20230316,5.321292237485239e-05
48,20230317,-0.0001038762881557
49,20230320,0.0002160490632133
50,20230321,0.0006948958233876
51,20230322,0.0002027174159814
52,20230323,-0.0004266318168261
53,20230324,0.0001398387727475
54,20230327,-0.0002644108923477
55,20230328,-2.900973680989257e-05
56,20230329,-0.0001517181074787
57,20230330,0.000497412602655
58,20230331,-0.0003437533743412
59,20230403,-0.0001599983461341
60,20230404,-0.0003356921033957
61,20230406,-9.945918721573346e-06
62,20230407,9.049730844445612e-05
63,20230410,-0.0002414327303051
64,20230411,0.0003747510034878
65,20230412,-0.0003184191352296
66,20230413,-2.1793106576407845e-05
67,20230414,-8.25562542065716e-05
68,20230417,-0.000312990369538
69,20230418,1.198134683005081e-05
70,20230419,0.0005129405171408
71,20230420,-0.0003474838019506
72,20230421,-0.0006347730578632
73,20230424,9.321901704970822e-07
74,20230425,0.0003047459857382
75,20230426,6.218935929694797e-05
76,20230427,-0.0003390369124499
77,20230428,-0.0001729985201284
78,20230504,-1.155870360656168e-05
79,20230505,4.740356431736415e-05
80,20230508,-0.0003259942314586
